Constituency,Constituency,Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Runner Up,Runner Up,Runner Up,Runner Up,Runner Up,Margin
No.,Name,Candidate,Party,Party,Votes,%,Candidate,Party,Party,Votes,%,Margin
Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district.1,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district,Nandurbar district.1,Nandurbar district,Nandurbar district,Nandurbar district
Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar,Palghar
128,Dahanu (ST),Vinod Nikole,,CPI(M),104702,47.21,Vinod Medha,,BJP,99569,44.90,5133
129,Vikramgad (ST),Harishchandra Bhoye,,BJP,114514,46.02,Sunil Bhusara,,NCP-SP,73106,29.38,41408
130,Palghar (ST),Rajendra Gavit,,SHS,112894,52.61,Jayendra Dubla,,SS(UBT),72557,33.81,40337
131,Boisar (ST),Vilas Tare,,SHS,126117,45.34,Rajesh Raghunath Patil,,BVA,81662,29.36,44455
132,Nalasopara,Rajan Naik,,BJP,165113,47.16,Kshitij Thakur,,BVA,128238,36.62,36875
133,Vasai,Sneha Pandit,,BJP,77553,35.38,Hitendra Thakur,,BVA,74400,33.94,3153
Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane,Thane
134,Bhiwandi Rural (ST),Shantaram More,,SS,127205,52.68,Mahadev Ghatal,,SS(UBT),69243,28.68,57962
135,Shahapur (ST),Daulat Daroda,,NCP,73081,35.34,Pandurang Barora,,NCP-SP,71409,34.54,1672
136,Bhiwandi West,Mahesh Choughule,,BJP,70172,38.65,Riyaj Azmi,,SP,38879,21.41,31293
137,Bhiwandi East,Rais Shaikh,,SP,119687,62.44,Santosh Shetty,,SHS,67672,35.30,52015
138,Kalyan West,Vishwanath Bhoir,,SHS,126020,51.32,Sachin Basare,,SS(UBT),83566,34.03,42454
139,Murbad,Kisan Kathore,,BJP,175509,55.04,Subhash Pawar,,NCP-SP,123117,38.61,52392
140,Ambernath (SC),Balaji Kinikar,,SHS,111368,60.36,Rajesh Wankhede,,SS(UBT),59993,32.52,51375
141,Ulhasnagar,Kumar Ailani,,BJP,82231,52.98,Pappu Kalani,,NCP-SP,51477,33.17,30754
142,Kalyan East,Sulbha Gaikwad,,BJP,81516,42.15,Mahesh Gaikwad,,IND,55108,28.50,26408
143,Dombivali,Ravindra Chavan,,BJP,123815,70.14,Dipesh Mhatre,,SS(UBT),46709,26.46,77106
144,Kalyan Rural,Rajesh More,,SHS,141164,47.68,Pramod Ratan Patil,,MNS,74768,25.26,66396
145,Mira Bhayandar,Narendra Mehta,,BJP,144376,54.87,Muzaffar Hussain,,INC,83943,31.90,60433
146,Ovala-Majiwada,Pratap Sarnaik,,SHS,184178,64.50,Naresh Manera,,SS(UBT),76020,26.62,108158
147,Kopri-Pachpakhadi,Eknath Shinde,,SHS,159060,78.29,Kedar Dighe,,SS(UBT),38343,18.87,120717
148,Thane,Sanjay Kelkar,,BJP,120373,51.85,Rajan Vichare,,SS(UBT),62120,26.76,58253
149,Mumbra-Kalwa,Jitendra Awhad,,NCP-SP,157141,61.93,Najeeb Mulla,,NCP,60913,24.00,96228
150,Airoli,Ganesh Naik,,BJP,144261,54.42,Vijay Chougule,,IND,52381,19.76,91880
151,Belapur,Manda Mhatre,,BJP,91852,39.04,Sandeep Naik,,NCP-SP,91475,38.88,377
Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban
152,Borivali,Sanjay Upadhyay,,BJP,139947,68.57,Sanjay Bhosale,,SS(UBT),39690,19.45,100257
153,Dahisar,Manisha Chaudhary,,BJP,98587,60.64,Vinod Ghosalkar,,SS(UBT),54258,33.37,44329
154,Magathane,Prakash Surve,,SHS,105527,58.15,Udesh Patekar,,SS(UBT),47363,26.10,58164
155,Mulund,Mihir Kotecha,,BJP,131549,71.78,Rakesh Shetty,,INC,41517,22.65,90032
156,Vikhroli,Sunil Raut,,SS(UBT),66093,46.86,Suvarna Karanje,,SHS,50567,35.85,15526
157,Bhandup West,Ashok Patil,,SHS,77754,42.74,Ramesh Korgaonkar,,SS(UBT),70990,39.02,6764
158,Jogeshwari East,Anant Nar,,SS(UBT),77044,43.32,Manisha Waikar,,SHS,75503,42.53,1541
159,Dindoshi,Sunil Prabhu,,SS(UBT),76437,43.03,Sanjay Nirupam,,SHS,70255,39.55,6182
160,Kandivali East,Atul Bhatkhalkar,,BJP,114203,72.39,Kalu Budhelia,,INC,30610,19.40,83593
161,Charkop,Yogesh Sagar,,BJP,127355,69.44,Yashwant Singh,,INC,36201,19.74,91154
162,Malad West,Aslam Shaikh,,INC,98202,49.81,Vinod Shelar,,BJP,91975,46.65,6227
163,Goregaon,Vidya Thakur,,BJP,96364,52.39,Sameer Desai,,SS(UBT),72764,39.56,23600
164,Versova,Haroon Rashid Khan,,SS(UBT),65396,44.21,Bharati Lavekar,,BJP,63796,43.13,1600
165,Andheri West,Ameet Satam,,BJP,84981,54.75,Ashok Jadhav,,INC,65382,42.12,19599
166,Andheri East,Murji Patel,,SHS,94010,55.66,Rutuja Latke,,SS(UBT),68524,40.57,25486
167,Vile Parle,Parag Alavani,,BJP,97259,61.70,Sandeep Raju Naik,,SS(UBT),42324,26.85,54935
168,Chandivali,Dilip Lande,,SHS,124641,51.90,Naseem Khan,,INC,104016,43.31,20625
169,Ghatkopar West,Ram Kadam,,BJP,73171,43.75,Sanjay Bhalerao,,SS(UBT),60200,35.99,12971
170,Ghatkopar East,Parag Shah,,BJP,85388,57.12,Rakhee Jadhav,,NCP-SP,50389,33.71,34999
171,Mankhurd Shivaji Nagar,Abu Azmi,,SP,54780,31.38,Atique Ahmad Khan,,AIMIM,42027,24.07,12753
172,Anushakti Nagar,Sana Malik,,NCP,49341,33.78,Fahad Ahmad,,NCP-SP,45963,31.47,3378
173,Chembur,Tukaram Kate,,SS,63194,44.18,Prakash Phaterpekar,,SS(UBT),52483,36.69,10711
174,Kurla (SC),Mangesh Kudalkar,,SS,72763,46.56,Praveena Morajkar,,SS(UBT),68576,43.88,4187
175,Kalina,Sanjay Potnis,,SS(UBT),59820,46.79,Amarjeet Singh,,BJP,54812,42.87,5008
176,Vandre East,Varun Sardesai,,SS(UBT),57708,42.26,Zeeshan Siddique,,NCP,46343,33.94,11365
177,Vandre West,Ashish Shelar,,BJP,82780,55.51,Asif Zakaria,,INC,62849,42.14,19931
Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City
178,Dharavi (SC),Jyoti Gaikwad,,INC,70727,53.87,Rajesh Khandare,,SHS,47268,36.00,23459
179,Sion Koliwada,R. Tamil Selvan,,BJP,73429,48.25,Ganesh Kumar Yadav,,INC,65534,43.07,7895
180,Wadala,Kalidas Kolambkar,,BJP,66800,55.78,Shraddha Jadhav,,SS(UBT),41827,34.93,24973
181,Mahim,Mahesh Sawant,,SS(UBT),50213,37.31,Sada Sarvankar,,SHS,48897,36.33,1316
182,Worli,Aaditya Thackeray,,SS(UBT),63324,44.19,Milind Deora,,SHS,54523,38.05,8801
183,Shivadi,Ajay Choudhari,,SS(UBT),74890,48.72,Bala Nandgaonkar,,MNS,67750,44.08,7140
184,Byculla,Manoj Jamsutkar,,SS(UBT),80133,58.09,Yamini Jadhav,,SHS,48772,35.36,31361
185,Malabar Hill,Mangal Lodha,,BJP,101197,73.38,Bherulal Choudhary,,SS(UBT),33178,24.06,68019
186,Mumbadevi,Amin Patel,,INC,74990,63.34,Shaina NC,,SHS,40146,33.91,34844
